       CYCLE                    TASK                       JOBID               STATE         EXIT STATUS     TRIES      DURATION
197001010000       hrrr_gf_debug_gnu                      289914           SUCCEEDED                   0         1         112.0
197001010000       hrrr_c3_debug_gnu                      289918           SUCCEEDED                   0         1         120.0
197001010000      rap_diag_debug_gnu                      289917           SUCCEEDED                   0         1         147.0
197001010000    rap_noah_sfcdiff_cires_ugwp_debug_gnu                      289916           SUCCEEDED                   0         1         181.0
197001010000    rap_progcld_thompson_debug_gnu                      289919           SUCCEEDED                   0         1         116.0
197001010000    rrfs_v1beta_debug_gnu                      289922           SUCCEEDED                   0         1         118.0
197001010000    control_ras_debug_gnu                      289921           SUCCEEDED                   0         1          69.0
197001010000    control_stochy_debug_gnu                      289923           SUCCEEDED                   0         1          80.0
197001010000    control_debug_p8_gnu                      289920           SUCCEEDED                   0         1         100.0
197001010000     rap_flake_debug_gnu                      289925           SUCCEEDED                   0         1         121.0
197001010000    rap_clm_lake_debug_gnu                      289924           SUCCEEDED                   0         1         120.0
197001010000    gnv1_c96_no_nest_debug_gnu                      289926           SUCCEEDED                   0         1         190.0
197001010000    compile_wam_debug_gnu                      289905           SUCCEEDED                   0         1          79.0
197001010000    control_wam_debug_gnu                      289909           SUCCEEDED                   0         1         315.0
197001010000    compile_atm_debug_dyn32_gnu                      289908           SUCCEEDED                   0         1         134.0
197001010000    control_csawmg_debug_gnu                      289927           SUCCEEDED                   0         1         135.0
197001010000    compile_rrfs_dyn32_phy32_gnu                      289910           SUCCEEDED                   0         1         149.0
197001010000    rap_control_dyn32_phy32_gnu                      289928           SUCCEEDED                   0         1         370.0
197001010000    hrrr_control_dyn32_phy32_gnu                      289929           SUCCEEDED                   0         1         199.0
197001010000    conus13km_control_gnu                      289930           SUCCEEDED                   0         1         171.0
197001010000    conus13km_restart_mismatch_gnu                      289937           SUCCEEDED                   0         1         122.0
197001010000    compile_atm_dyn64_phy32_gnu                      289931           SUCCEEDED                   0         1         319.0
197001010000    rap_control_dyn64_phy32_gnu                      289946           SUCCEEDED                   0         1         229.0
197001010000    compile_atm_dyn32_phy32_debug_gnu                      289932           SUCCEEDED                   0         1         229.0
197001010000    rap_control_debug_dyn32_phy32_gnu                      289938           SUCCEEDED                   0         1         107.0
197001010000    hrrr_control_debug_dyn32_phy32_gnu                      289939           SUCCEEDED                   0         1         109.0
197001010000     conus13km_debug_gnu                      289940           SUCCEEDED                   0         1         332.0
197001010000    conus13km_radar_tten_debug_gnu                      289943           SUCCEEDED                   0         1         326.0
197001010000    compile_atm_dyn64_phy32_debug_gnu                      289935           SUCCEEDED                   0         1         227.0
197001010000    rap_control_dyn64_phy32_debug_gnu                      289942           SUCCEEDED                   0         1         119.0
197001010000       compile_s2swa_gnu                      289934           SUCCEEDED                   0         1         607.0
197001010000     cpld_control_p8_gnu                      289955           SUCCEEDED                   0         2         464.0
197001010000         compile_s2s_gnu                      289933           SUCCEEDED                   0         1         593.0
197001010000    cpld_control_nowave_noaero_p8_gnu                      289950           SUCCEEDED                   0         1         412.0
197001010000    compile_s2swa_debug_gnu                      289936           SUCCEEDED                   0         1         106.0
197001010000       cpld_debug_p8_gnu                      289952                DEAD                   1         3         195.0
197001010000    compile_s2sw_pdlib_gnu                      289945           SUCCEEDED                   0         1         612.0
197001010000    cpld_control_pdlib_p8_gnu                      289954           SUCCEEDED                   0         1         565.0
197001010000    compile_s2sw_pdlib_debug_gnu                      289944           SUCCEEDED                   0         1          96.0
197001010000    cpld_debug_pdlib_p8_gnu                      289948           SUCCEEDED                   0         1         462.0
197001010000    compile_datm_cdeps_gnu                      289947           SUCCEEDED                   0         1         574.0
197001010000    datm_cdeps_control_cfsr_gnu                      289953           SUCCEEDED                   0         1         121.0
